key,ko,en,es,zh-hans,zh-hant,vi
1~5점,1~5점,1 to 5 points,1 a 5 puntos,1 至 5 分,1 至 5 點,1~5 điểm
24시간 미수락 시 에이전트에게 보낸 독촉 메시지 발송 시각,24시간 미수락 시 에이전트에게 보낸 독촉 메시지 발송 시각,time of nudge message sent to agent after 24 hours of nonacceptance,hora de envío del mensaje nudge al agente tras 24 horas de no recepciones,24 小时未接收后向代理发送提示信息的时间,24 小時未接收訊息後，傳送給代理的推薦訊息時間,thời gian gửi tin nhắn nhắc nhở đến đại lý khi không nhận được trong vòng 24 giờ
AI 서비스 추천 / 스케줄 생성,AI 서비스 추천 / 스케줄 생성,Create AI service recommendations/schedules,Recomendación de servicios y creación de calendarios mediante IA,人工智能服务推荐/日程创建,AI 服務推薦/排程建立,Đề xuất dịch vụ AI / Tạo lịch trình
AI 서비스 추천은 스탠다드 이상 등급에서 이용 가능합니다.,AI 서비스 추천은 스탠다드 이상 등급에서 이용 가능합니다.,AI service recommendations are available on Standard and above.,Las recomendaciones del servicio AI están disponibles a partir de la versión Estándar.,标准版及以上版本可提供人工智能服务建议。,AI 服務建議適用於 Standard 及以上版本。,Dịch vụ đề xuất AI có thể sử dụng ở cấp độ tiêu chuẩn trở lên.
AI 추천 및 에이전트 도움을 원하시면 상위 요금제로 업그레이드하세요.,AI 추천 및 에이전트 도움을 원하시면 상위 요금제로 업그레이드하세요.,Upgrade to a higher plan for AI recommendations and agent assistance.,Actualice a un plan superior para obtener recomendaciones de IA y asistencia de agentes.,升级到更高级计划，可获得人工智能建议和代理协助。,升級至更高的方案，以獲得 AI 建議和代理協助。,"Nếu bạn muốn nhận được đề xuất từ AI và sự trợ giúp từ đại lý, hãy nâng cấp lên gói cước cao hơn."
AI 추천 사용,AI 추천 사용,Using AI recommendations,Recomendaciones de la IA,使用人工智能建议,使用 AI 建議,Sử dụng đề xuất AI
Accept rate (수락률),Accept rate (수락률),Accept rate,Tasa de aceptación,接受率,接受率,Tỷ lệ chấp nhận (Accept rate)
Agent,Agent,Agent,Agente,代理,代理,Đại lý
Agent 가격,Agent 가격,Agent pricing,Precios de los agentes,代理定价,代理定價,Giá đại lý
Agent 목록을 불러올 수 없습니다.,Agent 목록을 불러올 수 없습니다.,Unable to retrieve the Agent list.,No se puede recuperar la lista de agentes.,无法检索代理列表。,無法擷取 Agent 清單。,Không thể tải danh sách đại lý.
Agent 선택 필요,Agent 선택 필요,Requires Agent selection,Requiere selección de Agente,需要选择代理,需要選擇代理,Cần chọn đại lý
